YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
2003,06,11,   29.0,   15.0,    0.0,-9999.0,-9999.0
2003,06,12,   28.9,   13.2,    0.0,-9999.0,-9999.0
2003,06,13,   28.0,   15.4,-9999.0,-9999.0,-9999.0
2003,06,14,   29.4,   14.2,    0.0,-9999.0,-9999.0
2003,06,15,   29.4,   15.5,    0.0,-9999.0,-9999.0
2003,06,16,   32.1,   17.6,-9999.0,-9999.0,-9999.0
2003,06,17,   31.0,-9999.0,    0.0,-9999.0,-9999.0
2003,06,18,   24.9,   13.2,    0.0,-9999.0,-9999.0
2003,06,19,   27.8,-9999.0,-9999.0,-9999.0,-9999.0
2003,06,20,   30.2,   15.2,    0.0,-9999.0,-9999.0
2003,06,21,   30.2,   16.0,    0.0,-9999.0,-9999.0
2003,06,22,   28.4,   16.2,    0.0,-9999.0,-9999.0
2003,06,23,   27.0,   12.0,    0.0,-9999.0,-9999.0
2003,06,24,   27.6,   13.0,    0.0,-9999.0,-9999.0
2003,06,25,   31.8,   15.2,    0.0,-9999.0,-9999.0
2003,06,26,   31.4,   16.8,    0.0,-9999.0,-9999.0
2003,06,27,   29.4,   15.0,    0.0,-9999.0,-9999.0
2003,06,28,   29.9,   16.0,    0.0,-9999.0,-9999.0
2003,06,29,   29.6,   15.2,    0.0,-9999.0,-9999.0
2003,06,30,   29.1,   15.0,    0.0,-9999.0,-9999.0
2003,07,01,   29.2,   15.4,    0.0,-9999.0,-9999.0
2003,07,02,   32.8,   16.6,    0.0,-9999.0,-9999.0
2003,07,03,   36.3,   20.2,    0.0,-9999.0,-9999.0
2003,07,04,   37.0,-9999.0,    0.0,-9999.0,-9999.0
2003,07,05,   35.6,-9999.0,-9999.0,-9999.0,-9999.0
2003,07,06,   31.2,-9999.0,    0.0,-9999.0,-9999.0
2003,07,07,   28.0,   15.0,    0.0,-9999.0,-9999.0
2003,07,08,   26.8,-9999.0,-9999.0,-9999.0,-9999.0
2003,07,09,   27.0,   12.8,    0.0,-9999.0,-9999.0
2003,07,10,   28.1,   12.6,    0.0,-9999.0,-9999.0
2003,07,11,   30.0,-9999.0,    0.0,-9999.0,-9999.0
2003,07,12,   31.0,   18.8,    0.0,-9999.0,-9999.0
2003,07,13,   29.2,   15.0,    0.0,-9999.0,-9999.0
2003,07,14,   32.5,   16.7,    0.0,-9999.0,-9999.0
2003,07,15,   31.0,   19.0,    0.0,-9999.0,-9999.0
2003,07,16,   30.4,   17.0,    0.0,-9999.0,-9999.0
2003,07,17,   29.2,   14.8,    0.0,-9999.0,-9999.0
2003,07,18,   27.9,   16.6,    0.0,-9999.0,-9999.0
2003,07,19,   28.5,   15.3,    0.0,-9999.0,-9999.0
2003,07,20,   28.3,   16.4,    0.0,-9999.0,-9999.0
2003,07,21,   28.8,   17.4,    0.0,-9999.0,-9999.0
2003,07,22,   27.8,-9999.0,    0.0,-9999.0,-9999.0
2003,07,23,   28.6,   15.2,    0.0,-9999.0,-9999.0
2003,07,24,   29.0,-9999.0,-9999.0,-9999.0,-9999.0
2003,07,25,   28.4,   14.0,    0.0,-9999.0,-9999.0
2003,07,26,   27.4,   13.8,    0.0,-9999.0,-9999.0
2003,07,27,-9999.0,   17.2,-9999.0,-9999.0,-9999.0
2003,07,28,   26.2,   13.4,    0.0,-9999.0,-9999.0
2003,07,29,   27.8,   13.0,    0.0,-9999.0,-9999.0
2003,07,30,   28.0,-9999.0,-9999.0,-9999.0,-9999.0
2003,07,31,   30.4,-9999.0,-9999.0,-9999.0,-9999.0
2003,08,01,   33.8,   19.0,    0.0,-9999.0,-9999.0
2003,08,02,   34.2,   19.1,    0.0,-9999.0,-9999.0
2003,08,03,   36.2,   22.0,    0.0,-9999.0,-9999.0
2003,08,04,   32.0,   22.0,-9999.0,-9999.0,-9999.0
2003,08,05,   30.0,   19.3,    0.0,-9999.0,-9999.0
2003,08,06,   29.4,   15.0,    0.0,-9999.0,-9999.0
2003,08,07,   29.0,   17.4,    0.0,-9999.0,-9999.0
2003,08,08,   30.0,   18.0,    0.0,-9999.0,-9999.0
2003,08,09,   30.8,   17.2,    0.0,-9999.0,-9999.0
2003,08,10,   30.7,   19.5,    0.0,-9999.0,-9999.0
2003,08,11,   29.0,-9999.0,-9999.0,-9999.0,-9999.0
2003,08,12,   26.5,   16.5,    0.0,-9999.0,-9999.0
2003,08,13,   27.0,   12.8,    0.0,-9999.0,-9999.0
